iter	Logloss
0	0.6749973438
1	0.6570663452
2	0.6394953975
3	0.6229519879
4	0.6078915066
5	0.5927264178
6	0.5791757089
7	0.5658333672
8	0.5526667842
9	0.5419435854
10	0.5296802097
11	0.5188859728
12	0.5095021001
13	0.500293873
14	0.4903210675
15	0.4816199409
16	0.4730373524
17	0.4645499901
18	0.4562956068
19	0.4484245018
20	0.4407223737
21	0.4340382894
22	0.4272219905
23	0.4208867956
24	0.4150115967
25	0.4085820516
26	0.4036739208
27	0.3980189006
28	0.3926264445
29	0.3877438863
30	0.383269642
31	0.3789160269
32	0.3746647022
33	0.3701281512
34	0.3657850477
35	0.3620641355
36	0.3581544947
37	0.3546165466
38	0.3509694982
39	0.3477669045
40	0.3443592213
41	0.3413766932
42	0.3386051319
43	0.3357465108
44	0.3327232078
45	0.3301886947
46	0.3272709034
47	0.3247375206
48	0.3223971614
49	0.3202828866
50	0.3178947166
51	0.3155340972
52	0.3135240625
53	0.3115972448
54	0.3095291138
55	0.3074819777
56	0.3053475839
57	0.3034294976
58	0.3017537435
59	0.3000872012
60	0.2983748825
61	0.296781328
62	0.2951352155
63	0.2936964247
64	0.2922578035
65	0.2908728988
66	0.2894374424
67	0.2882047865
68	0.2869262695
69	0.2854527791
70	0.2842286569
71	0.2828329016
72	0.2817324038
73	0.2806749697
74	0.2794578552
75	0.2783415618
76	0.2772451895
77	0.2761039169
78	0.2750254313
79	0.2739557902
80	0.2730254844
81	0.2719953184
82	0.2710832384
83	0.2702290853
84	0.269343793
85	0.2683761597
86	0.2675431993
87	0.2667714154
88	0.2660025137
89	0.2650965938
90	0.2642153987
91	0.263432086
92	0.262683162
93	0.2619543287
94	0.2612350464
95	0.2604287324
96	0.2596719247
97	0.2589160495
98	0.2582975317
99	0.2576703955
100	0.257045435
101	0.2563931783
102	0.255663893
103	0.2550785489
104	0.2544828627
105	0.2539298729
106	0.2531972814
107	0.2526481911
108	0.2520266498
109	0.251465861
110	0.2508986579
111	0.2502740648
112	0.2497122588
113	0.2491505658
114	0.2486186275
115	0.2481466788
116	0.2476158425
117	0.2470957156
118	0.2466314245
119	0.2461201986
120	0.2455999021
121	0.2451560974
122	0.2446139583
123	0.2440954138
124	0.2436769839
125	0.2433193348
126	0.2428746824
127	0.2425487094
128	0.2421101888
129	0.2416987666
130	0.2413052594
131	0.2409827338
132	0.2405127631
133	0.2401184365
134	0.2397282918
135	0.2392874824
136	0.2388286449
137	0.2384545785
138	0.2381394563
139	0.2377714369
140	0.2372908698
141	0.236982501
142	0.2366022039
143	0.2362202397
144	0.2358608246
145	0.2354856844
146	0.2352054737
147	0.2348310259
148	0.234483182
149	0.2341848303
150	0.2338783829
151	0.2335452892
152	0.2332324982
153	0.2328762478
154	0.2324701097
155	0.2321251339
156	0.2317943573
157	0.2314797719
158	0.2311796965
159	0.2309195059
160	0.2306617878
161	0.23032495
162	0.230049981
163	0.2296516418
164	0.229325245
165	0.2290532713
166	0.2287209122
167	0.2283800478
168	0.2280928153
169	0.2277879079
170	0.2274934839
171	0.2271957397
172	0.2268718719
173	0.2265991211
174	0.2263233326
175	0.2260698248
176	0.2258152714
177	0.2255634732
178	0.2252592016
179	0.2249942073
180	0.2247098711
181	0.2244029575
182	0.2241096214
183	0.223871556
184	0.2235587791
185	0.2232510037
186	0.2229544463
187	0.2227205912
188	0.2224446615
189	0.2221576549
190	0.2219563237
191	0.2216891253
192	0.2214536879
193	0.2211876763
194	0.2209095708
195	0.2206520928
196	0.2204340052
197	0.2201568886
198	0.2198714504
199	0.2196106522
200	0.2193779274
201	0.2191948502
202	0.2189258999
203	0.2187643263
204	0.2185091089
205	0.2182427583
206	0.2180420204
207	0.2177879899
208	0.2175634879
209	0.2173138654
210	0.2171007933
211	0.2168551268
212	0.2166468161
213	0.2164294208
214	0.2162651627
215	0.2159811373
216	0.2158426497
217	0.2156445115
218	0.2154282746
219	0.2151803193
220	0.2149874652
221	0.2147884369
222	0.2145153187
223	0.2142671232
224	0.2139986674
225	0.2138008118
226	0.2135296574
227	0.2133510166
228	0.2131649724
229	0.2129788434
230	0.212733078
231	0.2125175052
232	0.2123087565
233	0.2120981852
234	0.211888066
235	0.2116668419
236	0.2114242271
237	0.2111823047
238	0.2109696847
239	0.2107144956
240	0.2104473114
241	0.2101954142
242	0.2099536896
243	0.2097681116
244	0.2095264294
245	0.2093363444
246	0.2090855069
247	0.2088987845
248	0.2087089397
249	0.2084780658
250	0.2083302109
251	0.2081816921
252	0.2080063149
253	0.2077730532
254	0.2075827422
255	0.2073386863
256	0.2071259675
257	0.2069068626
258	0.2067748034
259	0.2065554584
260	0.2063200633
261	0.2061762492
262	0.2058808362
263	0.2056494395
264	0.205441595
265	0.205198839
266	0.2049554189
267	0.2047328808
268	0.2045516826
269	0.2043490657
270	0.204146802
271	0.2040235307
272	0.2038478427
273	0.2036257709
274	0.203403699
275	0.203249232
276	0.2030657592
277	0.2028465412
278	0.2026279308
279	0.2024414204
280	0.2022286592
281	0.2020486478
282	0.201805143
283	0.2015786489
284	0.2014286465
285	0.2013021964
286	0.2010523761
287	0.2008374673
288	0.200676911
289	0.2005008274
290	0.2003321754
291	0.2001388267
292	0.2000053688
293	0.1998536004
294	0.1996873644
295	0.1994741793
296	0.1992720851
297	0.1990499285
298	0.1988492612
299	0.1986015744
300	0.1984134957
301	0.1982550444
302	0.1980583191
303	0.1978861773
304	0.1977457258
305	0.1975311279
306	0.1973842197
307	0.197243853
308	0.1970307103
309	0.1968451041
310	0.1966528151
311	0.1965571792
312	0.1964102851
313	0.1962517915
314	0.1960806105
315	0.1958737126
316	0.195721704
317	0.195606373
318	0.195489615
319	0.1953244527
320	0.1951296771
321	0.1949088203
322	0.1947241183
323	0.1945851785
324	0.194364138
325	0.194213076
326	0.1939963447
327	0.1937852506
328	0.1936209361
329	0.1934731095
330	0.1932694188
331	0.1931094417
332	0.1929075453
333	0.1927299358
334	0.1925987526
335	0.1924625962
336	0.1923086661
337	0.1921915973
338	0.1920484755
339	0.1918832567
340	0.191726289
341	0.1915335055
342	0.1913705473
343	0.1912001433
344	0.1909836946
345	0.1907983851
346	0.1905990459
347	0.1904624515
348	0.1902827793
349	0.1901101854
350	0.1899444298
351	0.1897807651
352	0.1897104899
353	0.1895335586
354	0.1893607246
355	0.1891704559
356	0.1890783804
357	0.1888995418
358	0.1887917837
359	0.1886119701
360	0.1884012717
361	0.188229794
362	0.1880694919
363	0.1879244204
364	0.1877388989
365	0.1875485314
366	0.1873912246
367	0.1872144346
368	0.1870521545
369	0.1868776957
370	0.186690719
371	0.1865154125
372	0.1863407276
373	0.1861987361
374	0.1860941852
375	0.1859211957
376	0.1857179571
377	0.1855190277
378	0.1854364324
379	0.1853067186
380	0.1851603755
381	0.1850779498
382	0.1848637051
383	0.1846742842
384	0.1844994156
385	0.1842911614
386	0.184129503
387	0.1839830752
388	0.1838012271
389	0.1836519171
390	0.1835129632
391	0.1833136382
392	0.183138812
393	0.1829581791
394	0.1827851331
395	0.1826436361
396	0.1825022662
397	0.1822815789
398	0.1821364226
399	0.1820235923
400	0.1818536264
401	0.1816947654
402	0.1815433926
403	0.18133949
404	0.18118953
405	0.1809930872
406	0.1808146865
407	0.1806208999
408	0.1804445903
409	0.180281632
410	0.180155634
411	0.1800289295
412	0.1798362732
413	0.179679037
414	0.1795466105
415	0.179400663
416	0.1792393437
417	0.1790607876
418	0.1789177365
419	0.1787329497
420	0.1785533764
421	0.1783878044
422	0.1782094744
423	0.1780410625
424	0.1779248273
425	0.1777412556
426	0.1776074586
427	0.1774548707
428	0.1772666931
429	0.1771125793
430	0.1770131994
431	0.1769021776
432	0.176742257
433	0.1765768263
434	0.1763996972
435	0.176287319
436	0.176091399
437	0.1759239903
438	0.1757481328
439	0.1755910096
440	0.1753976186
441	0.1752189636
442	0.1750424138
443	0.1748914789
444	0.1747590242
445	0.1746417575
446	0.174532968
447	0.17437795
448	0.1742019088
449	0.1740520195
450	0.1738547714
451	0.1737209179
452	0.17361891
453	0.1734526458
454	0.1732650757
455	0.1731897283
456	0.173048966
457	0.1728757929
458	0.1726544981
459	0.1725422612
460	0.1723983482
461	0.1722067656
462	0.1720448953
463	0.1719004454
464	0.1717456676
465	0.1716225236
466	0.1714837816
467	0.1713106791
468	0.1712183493
469	0.1710654223
470	0.170898932
471	0.1707413002
472	0.1705363803
473	0.1704517506
474	0.170282152
475	0.1701505308
476	0.1700406958
477	0.1699249974
478	0.1698563611
479	0.1696856181
480	0.1695052677
481	0.1693249455
482	0.1691407098
483	0.1690038045
484	0.1688841643
485	0.1687456767
486	0.1685732524
487	0.168462061
488	0.1683063648
489	0.1681485918
490	0.1679981656
491	0.1678030791
492	0.167636829
493	0.1674532007
494	0.1673017714
495	0.1671774688
496	0.1670360424
497	0.1668752741
498	0.1667348085
499	0.1666598991
500	0.1665244491
501	0.1663267065
502	0.1661753619
503	0.1660783697
504	0.1659269827
505	0.1657491613
506	0.1656280235
507	0.1654713383
508	0.1653221696
509	0.1651711217
510	0.164992283
511	0.1648215824
512	0.1646094711
513	0.1644450718
514	0.1642752188
515	0.1641488252
516	0.1639952766
517	0.1638655769
518	0.1636787273
519	0.1635496069
520	0.1633833426
521	0.1632135744
522	0.163100066
523	0.1629326149
524	0.1628306777
525	0.1627411313
526	0.1625521342
527	0.1624027393
528	0.162315849
529	0.1621512519
530	0.1619571262
531	0.1617695702
532	0.1616676754
533	0.1615114
534	0.1612974803
535	0.1610926593
536	0.1610055146
537	0.1608288659
538	0.1606296257
539	0.1605382284
540	0.16037965
541	0.1602581872
542	0.1601459503
543	0.159999028
544	0.1598744145
545	0.1596864206
546	0.1595182913
547	0.1593783908
548	0.1591812416
