iter	Passed	Remaining
0	17	25665
1	31	23670
2	45	22458
3	58	21927
4	72	21607
5	87	21719
6	102	21772
7	117	21877
8	132	22027
9	146	21791
10	159	21654
11	174	21643
12	189	21731
13	204	21751
14	219	21730
15	234	21771
16	250	21817
17	264	21809
18	278	21743
19	292	21662
20	306	21617
21	321	21565
22	336	21591
23	350	21563
24	364	21479
25	379	21491
26	393	21482
27	408	21458
28	422	21455
29	438	21465
30	453	21512
31	467	21463
32	483	21475
33	497	21443
34	512	21445
35	526	21424
36	541	21416
37	556	21416
38	570	21356
39	585	21382
40	601	21397
41	615	21358
42	630	21379
43	646	21379
44	659	21336
45	674	21332
46	688	21288
47	703	21270
48	717	21236
49	732	21241
50	746	21213
51	760	21176
52	774	21144
53	788	21105
54	802	21074
55	817	21079
56	832	21072
57	847	21058
58	860	21018
59	875	21017
60	890	21009
61	904	20989
62	920	20986
63	934	20967
64	949	20956
65	962	20916
66	976	20889
67	991	20870
68	1006	20873
69	1022	20884
70	1038	20898
71	1051	20861
72	1066	20841
73	1080	20813
74	1094	20795
75	1108	20767
76	1123	20755
77	1139	20770
78	1154	20765
79	1168	20749
80	1183	20735
81	1199	20736
82	1213	20713
83	1228	20711
84	1242	20684
85	1257	20675
86	1271	20656
87	1286	20647
88	1301	20640
89	1318	20648
90	1332	20631
91	1347	20616
92	1362	20606
93	1376	20588
94	1390	20569
95	1405	20557
96	1419	20538
97	1436	20546
98	1449	20516
99	1465	20515
100	1481	20519
101	1496	20516
102	1512	20510
103	1526	20485
104	1540	20466
105	1555	20453
106	1568	20420
107	1583	20411
108	1598	20403
109	1612	20378
110	1627	20359
111	1641	20346
112	1656	20331
113	1670	20309
114	1683	20278
115	1697	20250
116	1711	20226
117	1726	20220
118	1740	20201
119	1755	20192
120	1769	20167
121	1783	20139
122	1797	20124
123	1812	20113
124	1829	20122
125	1842	20093
126	1858	20087
127	1872	20072
128	1888	20065
129	1902	20047
130	1916	20029
131	1930	20003
132	1943	19980
133	1959	19974
134	1973	19957
135	1988	19945
136	2003	19928
137	2018	19924
138	2033	19907
139	2048	19897
140	2062	19877
141	2076	19856
142	2090	19836
143	2105	19826
144	2119	19807
145	2133	19789
146	2148	19777
147	2163	19760
148	2177	19740
149	2190	19717
150	2204	19697
151	2220	19696
152	2235	19679
153	2251	19676
154	2266	19667
155	2281	19655
156	2295	19634
157	2309	19617
158	2324	19604
